lemma,token,tag,morph,picto,picto_bw
irgendein,,,{'Gender': 'Masc'},METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Pronomen\irgend_irgendein.png,
irgendein,,,{'Gender': 'Masc'},METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Pronomen\irgend_irgendein.png,
irgendein,,,{'Gender': 'Fem'},METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Pronomen\irgendeine.png,
irgendjemand,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Pronomen\irgendjemand.png,
jemand,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Pronomen\jemand.png,
jen,,,{'Number': 'Plur'},METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Pronomen\jene_mehrzahl.png,
man,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Pronomen\man.png,
mein,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Pronomen\mein2.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Pronomen\mein2SW.png
Pronomen,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Pronomen\pronomen.png,
sein,,PPOSAT,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Pronomen\sein_junge.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Pronomen\sein_jungeSW.png
,sein,PPOSAT,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Pronomen\sein_junge.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Pronomen\sein_jungeSW.png
,seine,PPOSAT,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Pronomen\sein_junge.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Pronomen\sein_jungeSW.png
,seinen,PPOSAT,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Pronomen\sein_junge.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Pronomen\sein_jungeSW.png
,seiner,PPOSAT,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Pronomen\sein_junge.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Pronomen\sein_jungeSW.png
,seines,PPOSAT,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Pronomen\sein_junge.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Pronomen\sein_jungeSW.png
,seinem,PPOSAT,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Pronomen\sein_junge.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Pronomen\sein_jungeSW.png
derselbe,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Pronomen\selb_selbe.png,
selbe,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Pronomen\selb_selbe.png,
sich,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Pronomen\sich.png,
unser,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Pronomen\unser.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Pronomen\unserSW.png
wir,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Pronomen\wir.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Pronomen\wirSW.png
,wir,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Pronomen\wir.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Pronomen\wirSW.png
Josef,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Religion\josef.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Religion\josefSW.png
Krankenweihe,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Religion\krankenweihe.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Religion\krankenweiheSW.png
Ämterplan,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Schule_Foerdereinrichtung\aemterplan.png,
Einzelförderung,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Schule_Foerdereinrichtung\einzelfoerderung1.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Schule_Foerdereinrichtung\einzelfoerderung1SW.png
Einzelplatz,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Schule_Foerdereinrichtung\einzelplatz.png,
Eurythmie,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Schule_Foerdereinrichtung\eurythmie.png,
Mitteilungsheft,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Schule_Foerdereinrichtung\mitteilungsheft.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Schule_Foerdereinrichtung\mitteilungsheftSW.png
einfach Sprache,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Sonstiges\logo_einfachesprache_blauweiss.png,
leicht Sprache,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Sonstiges\logo_leichtesprache_blauweiss.png,
Bobbycar,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Spielen\bobbycar.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Spielen\bobbycarSW.png
Bügelperle,,,{'Number': 'Sing'},METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Spielen\buegelperle.png,
Bügelperle,,,{'Number': 'Plur'},METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Spielen\buegelperlen.png,
Farbwürfel,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Spielen\farbwuerfel.png,
Fidget Spinner,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Spielen\fidgetspinner_blau.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Spielen\fidgetspinnerSW.png
Uno,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Spielen\kartenspieluno.png,
UNO,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Spielen\kartenspieluno.png,
Kugelbahn,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Spielen\kugelbahn.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Spielen\kugelbahnSW.png
Netzschaukel,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Spielen\netzschaukel1.png,
Schwimmreif,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Spielen\schwimmring.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Spielen\schwimmringSW.png
Schwimmreifen,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Spielen\schwimmring.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Spielen\schwimmringSW.png
Schwimmring,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Spielen\schwimmring.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Spielen\schwimmringSW.png
gelb Karte,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Sport\gelbekarte.png,
rote Karte,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Sport\rotekarte.png,
Startklappe,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Sport\startklappe.png,
Autismustherapie,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Therapie\autismustherapie.png,
Bällebad,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Therapie\baellebad2.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Therapie\baellebad2SW.png
Bohnenbad,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Therapie\bohnenbad.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Therapie\bohnenbadSW.png
Lernschere,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Therapie\lernschere.png,
Motopädie,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Therapie\motopaedie.png,
Sehförderung,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Therapie\sehfoerderung.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Therapie\sehfoerderungSW.png
Sitzsack,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Therapie\sitzsackrot.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Therapie\sitzsackSW.png
törö,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Tiere\elefant_toeroe.png,
quak,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Tiere\frosch_quak.png,
Gassi gehen,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Tiere\gassigehen.png,
Hund ausführen,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Tiere\gassigehen.png,
spazieren führen,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Tiere\gassigehen.png,
wau,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Tiere\hund_wau.png,
Hundespielzeug,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Tiere\hundespielzeug.png,
Pfotenabdruck,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Tiere\pfotenabdruckSW.png,
piep,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Tiere\vogel_piep.png,
Filmklappe,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\TV_Audio_Foto\Filmklappe.png,
Blasrüssel,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Urlaub_Spass\lufttroete.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Urlaub_Spass\lufttroeteSW.png
Luftrüssel,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Urlaub_Spass\lufttroete.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Urlaub_Spass\lufttroeteSW.png
Rolltröte,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Urlaub_Spass\lufttroete.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Urlaub_Spass\lufttroeteSW.png
Furzgeräusch,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Urlaub_Spass\pupsgeraeusch.png,
Pupsgeräusch,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Urlaub_Spass\pupsgeraeusch.png,
Sitztanz,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Urlaub_Spass\sitztanz.png,
Wimpelkette,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Urlaub_Spass\wimpelkette.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Urlaub_Spass\wimpelketteSW.png
auf der Schoss,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Verben\aufdemschoss.png,
können,,"{'VVFIN', 'VMFIN', 'VVIMP', 'VVINF', 'VVIZU', 'VMINF', 'VVPP', 'VMPP'}",,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Verben\koennen.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Verben\koennenSW.png
matschen,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Verben\matschen.png,
sein,,"{'VVFIN', 'VAFIN', 'VVIMP', 'VAIMP', 'VVINF', 'VVIZU', 'VAINF', 'VVPP', 'VAPP'}",,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Verben\sein1.png,
verstehen nicht,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Verben\verstehennichtFB.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Verben\verstehennicht.png
nicht verstehen,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Verben\verstehennichtFB.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Verben\verstehennicht.png
sein,,,"{'Mood': 'Sub', 'Tense': 'Past'}",METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Verben\waeren2.png,
sein,,,"{'Mood': 'Ind', 'Tense': 'Past'}",METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Verben\waren1.png,
Schneegewitter,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Wetter_Himmel\schneegewitter.png,
dreizehnte,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zahlen_Rechnen\13dreizehnter.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zahlen_Rechnen\13dreizehnter.png
13.,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zahlen_Rechnen\13dreizehnter.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zahlen_Rechnen\13dreizehnter.png
vierzehnte,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zahlen_Rechnen\14vierzehnter.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zahlen_Rechnen\14vierzehnter.png
14.,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zahlen_Rechnen\14vierzehnter.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zahlen_Rechnen\14vierzehnter.png
fünfzehnte,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zahlen_Rechnen\15fuenfzehnter.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zahlen_Rechnen\15fuenfzehnter.png
15.,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zahlen_Rechnen\15fuenfzehnter.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zahlen_Rechnen\15fuenfzehnter.png
sechzehnte,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zahlen_Rechnen\16sechszehnter.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zahlen_Rechnen\16sechszehnter.png
16.,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zahlen_Rechnen\16sechszehnter.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zahlen_Rechnen\16sechszehnter.png
siebzehnte,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zahlen_Rechnen\17siebzehnter.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zahlen_Rechnen\17siebzehnter.png
17.,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zahlen_Rechnen\17siebzehnter.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zahlen_Rechnen\17siebzehnter.png
achtzehnte,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zahlen_Rechnen\18achtzehnter.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zahlen_Rechnen\18achtzehnter.png
18.,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zahlen_Rechnen\18achtzehnter.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zahlen_Rechnen\18achtzehnter.png
neunzehnte,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zahlen_Rechnen\19neunzehnter.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zahlen_Rechnen\19neunzehnter.png
19.,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zahlen_Rechnen\19neunzehnter.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zahlen_Rechnen\19neunzehnter.png
2009,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zahlen_Rechnen\2009.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zahlen_Rechnen\2009.png
2010,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zahlen_Rechnen\2010.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zahlen_Rechnen\2010.png
2011,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zahlen_Rechnen\2011.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zahlen_Rechnen\2011.png
2012,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zahlen_Rechnen\2012.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zahlen_Rechnen\2012.png
2013,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zahlen_Rechnen\2013.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zahlen_Rechnen\2013.png
2014,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zahlen_Rechnen\2014.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zahlen_Rechnen\2014.png
2015,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zahlen_Rechnen\2015.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zahlen_Rechnen\2015.png
2016,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zahlen_Rechnen\2016.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zahlen_Rechnen\2016.png
2017,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zahlen_Rechnen\2017.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zahlen_Rechnen\2017.png
2018,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zahlen_Rechnen\2018.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zahlen_Rechnen\2018.png
2019,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zahlen_Rechnen\2019.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zahlen_Rechnen\2019.png
2020,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zahlen_Rechnen\2020.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zahlen_Rechnen\2020.png
2021,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zahlen_Rechnen\2021.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zahlen_Rechnen\2021.png
2022,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zahlen_Rechnen\2022.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zahlen_Rechnen\2022.png
2023,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zahlen_Rechnen\2023.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zahlen_Rechnen\2023.png
2024,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zahlen_Rechnen\2024.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zahlen_Rechnen\2024.png
2025,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zahlen_Rechnen\2025.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zahlen_Rechnen\2025.png
2026,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zahlen_Rechnen\2026.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zahlen_Rechnen\2026.png
2027,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zahlen_Rechnen\2027.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zahlen_Rechnen\2027.png
2028,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zahlen_Rechnen\2028.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zahlen_Rechnen\2028.png
2029,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zahlen_Rechnen\2029.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zahlen_Rechnen\2029.png
zwanzigste,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zahlen_Rechnen\20zwanzigster.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zahlen_Rechnen\20zwanzigster.png
20.,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zahlen_Rechnen\20zwanzigster.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zahlen_Rechnen\20zwanzigster.png
einundzwanzigste,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zahlen_Rechnen\21einundzwanzigster.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zahlen_Rechnen\21einundzwanzigster.png
21.,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zahlen_Rechnen\21einundzwanzigster.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zahlen_Rechnen\21einundzwanzigster.png
zweiundzwanzigste,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zahlen_Rechnen\22zweiundzwanzigster.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zahlen_Rechnen\22zweiundzwanzigster.png
22.,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zahlen_Rechnen\22zweiundzwanzigster.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zahlen_Rechnen\22zweiundzwanzigster.png
dreiundzwanzigste,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zahlen_Rechnen\23dreiundzwanzigster.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zahlen_Rechnen\23dreiundzwanzigster.png
23.,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zahlen_Rechnen\23dreiundzwanzigster.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zahlen_Rechnen\23dreiundzwanzigster.png
vierundzwanzigste,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zahlen_Rechnen\24vierundzwanzigster.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zahlen_Rechnen\24vierundzwanzigster.png
24.,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zahlen_Rechnen\24vierundzwanzigster.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zahlen_Rechnen\24vierundzwanzigster.png
fünfundzwanzigste,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zahlen_Rechnen\25fuenfundzwanzigster.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zahlen_Rechnen\25fuenfundzwanzigster.png
25.,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zahlen_Rechnen\25fuenfundzwanzigster.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zahlen_Rechnen\25fuenfundzwanzigster.png
sechsundzwanzigste,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zahlen_Rechnen\26sechsundzwanzigster.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zahlen_Rechnen\26sechsundzwanzigster.png
26.,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zahlen_Rechnen\26sechsundzwanzigster.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zahlen_Rechnen\26sechsundzwanzigster.png
siebenundzwanzigste,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zahlen_Rechnen\27siebenundzwanzigster.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zahlen_Rechnen\27siebenundzwanzigster.png
27.,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zahlen_Rechnen\27siebenundzwanzigster.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zahlen_Rechnen\27siebenundzwanzigster.png
achtundzwanzigste,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zahlen_Rechnen\28achtundzwanzigster.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zahlen_Rechnen\28achtundzwanzigster.png
28.,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zahlen_Rechnen\28achtundzwanzigster.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zahlen_Rechnen\28achtundzwanzigster.png
neunundzwanzigste,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zahlen_Rechnen\29neunundzwanzigster.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zahlen_Rechnen\29neunundzwanzigster.png
29.,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zahlen_Rechnen\29neunundzwanzigster.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zahlen_Rechnen\29neunundzwanzigster.png
dreissigste,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zahlen_Rechnen\30dreissigster.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zahlen_Rechnen\30dreissigster.png
30.,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zahlen_Rechnen\30dreissigster.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zahlen_Rechnen\30dreissigster.png
einunddreissigste,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zahlen_Rechnen\31einunddreissigster.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zahlen_Rechnen\31einunddreissigster.png
31.,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zahlen_Rechnen\31einunddreissigster.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zahlen_Rechnen\31einunddreissigster.png
abends,,ADV,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zeit\abends.png,
bald,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zeit\bald.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zeit\baldSW.png
bisher,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zeit\bisher.png,
damals,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zeit\damals.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zeit\damalsSW.png
danach,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zeit\danach.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zeit\danachSW.png
dann,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zeit\dann.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zeit\dannSW.png
nachher,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zeit\dann.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zeit\dannSW.png
eher,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zeit\eher.png,
